text;created_at;coordinates;retweet_count;screen_name;location;lang;followers_count;lat;long;hastags
RT @billsoftnet: Big Data Analysts vs Big Data Communicators https://t.co/Qjp2Cp6iGS #DataSecurity #Security #CyberSecurity #DataScience #D…;Mon Aug 01 21:18:58 +0000 2016;;0;AlexHorovitz;California, USA, Earth;en;2261;35.4780569;-115.541994445811;#DataSecurity #Security #CyberSecurity #DataScience #D…
Sing it sister! https://t.co/VD04pgDtn2;Mon Aug 01 21:18:58 +0000 2016;;0;WessieThon;Westbrook, ME;en;1102;43.6770252;-70.3711617;
Go Leads Strong Big Data Showing in IEEE Programming Language Ranking -- ADTmag https://t.co/tYgj72LOkt;Mon Aug 01 21:19:04 +0000 2016;;0;beckynagel;Irvine, CA;en;2393;49.9584438;-110.2732606;
RT @billsoftnet: Big Data Analysts vs Big Data Communicators https://t.co/Qjp2Cp6iGS #DataSecurity #Security #CyberSecurity #DataScience #D…;Mon Aug 01 21:19:06 +0000 2016;;0;KU5H4L;Mauritius;en;770;-20.2759451;57.5703566;#DataSecurity #Security #CyberSecurity #DataScience #D…
@Doshirae @Hygon_ Regarde le tuto officiel, il est cool aussi : https://t.co/QcpY9Fq0dT;Mon Aug 01 21:19:06 +0000 2016;;0;sizeof;Paris;en;10428;48.8566101;2.3514992;
another excellent, informative and practical (of course!) article from @PyImageSearch https://t.co/JU80lNAbqK #cnn #MachineLearning;Mon Aug 01 21:19:08 +0000 2016;;0;webpusher;Dublin, Ireland;en;173;53.3497645;-6.2602732;#cnn #MachineLearning
RT @planetpython: Graham Dumpleton: Testing out deployment of Python based Opal health care framework. https://t.co/tLlfJ2jByw;Mon Aug 01 21:19:17 +0000 2016;;0;HoGueRa27;Formosa;es;43;23.59829785;120.835363138175;
How Big Data Can Predict Football’s Rising Stars (VIDEO) https://t.co/zMnJfNSd8L;Mon Aug 01 21:19:26 +0000 2016;;0;Superjohna07;Africa, World. ;en;2756;55.173887;-163.1275261;
Si qqn est intéressé par une lib python pour faire du ssh facilement : https://t.co/Y3s8ZtiOkE;Mon Aug 01 21:19:33 +0000 2016;;0;julienc91;France, 75;fr;120;48.85881005;2.32003101155031;
"Boas questões para iniciantes: ""Hello #python!"" https://t.co/T5OSyWbNGg por @cassiobotaro";Mon Aug 01 21:19:37 +0000 2016;;0;w_oliveiras;Brazil;pt;479;-10.3333333;-53.2;"#python!"""
RT @developTo0ls: #python, #css When I find a useless piece of #code https://t.co/0kDDBJ4neH https://t.co/mv4lFWdIC9;Mon Aug 01 21:19:59 +0000 2016;;0;HoGueRa27;Formosa;es;43;23.59829785;120.835363138175;#python, #css #code
John Snow Labs Now Provides Curated Data in Apache Parquet Format For Blazing Fast Big Data ... https://t.co/q7Y2EcVis8 #DataAnalytics;Mon Aug 01 21:20:06 +0000 2016;;0;TungstenBigData;London;en;1747;51.5073219;-0.1276474;#DataAnalytics
#Python Engineer Business Intelligence Data @livestream Brooklyn New York https://t.co/RRUa0WMGT6 #Marvel #Sales #SQL;Mon Aug 01 21:20:18 +0000 2016;;0;sa_python_jobs;Global;en;86;43.7283874;-79.34914879325;#Python #Marvel #Sales #SQL
RT @SociativeBigDat: Big data stirs visions of 'mobile machinery' https://t.co/JXW5VZFhkG #bigdata;Mon Aug 01 21:20:24 +0000 2016;;0;ShirleyYYoung;Mountain View, CA;en;407;45.5073725;-73.6050824;#bigdata
RT @SociativeBigDat: Big Data Analytic and Important Question https://t.co/g6k8xZvTb9 #bigdata;Mon Aug 01 21:20:24 +0000 2016;;0;ShirleyYYoung;Mountain View, CA;en;407;45.5073725;-73.6050824;#bigdata
RT @Rbloggers: New R job: Big Data in Digital Health (5-10 hours per week) https://t.co/KPgQ2A7Dl0 #rstats #DataScience #jobs;Mon Aug 01 21:20:35 +0000 2016;;0;SmartMedRT;Tübingen, Deutschland;de;301;48.5236164;9.0535531;#rstats #DataScience #jobs
Searching for amazing #FullStack #Developers for an incredible client in #Tempe #Java #Python #hiring MDI Group (no partners);Mon Aug 01 21:20:40 +0000 2016;;0;angavartin;Phoenix;en;290;33.4485866;-112.0773456;#FullStack #Developers #Tempe #Java #Python #hiring
How do I calculate the date six months from the current date using the datetime Python module? #python #datetime https://t.co/Ll15dKFLgG;Mon Aug 01 21:21:01 +0000 2016;;0;PythonQnA;Bengaluru, India;en;104;12.9791198;77.5912997;#python #datetime
Senior Developer – Big Data #Hiring Migrate Data from relational databases to Hadoop HDFS. 3 years’ experience in … https://t.co/bkMJdWp58W;Mon Aug 01 21:21:08 +0000 2016;;0;orlandorussian;Orlando, FL;en;424;28.5421097;-81.3790388;#Hiring
@matthewherper @ethanjweiss lookout for PSA data. I suspect big lawsuits evolving;Mon Aug 01 21:21:20 +0000 2016;;0;daviesbj;East Liberty, Pennsylvania;en;3387;40.4620685;-79.9239522;
John Snow Labs Now Provides Curated Data in Apache Parquet Format – For Blazing Fast Big… https://t.co/Zx2o0B1BZG https://t.co/5evzlMSsFA;Mon Aug 01 21:21:38 +0000 2016;;0;hawaiinewsupdat;Hawaii;en;242;21.2160437;-157.975203;
RT @BLUTecnologia: ¿Qué es Big Data? ¿Qué es y para qué le sirve la analítica de datos? #Conéctese ya y haga más rentable su negocio →… ;Fri Jul 07 01:55:49 +0000 2017;;0;CamiloALopezC;Bogota, Colombia;es;611;4.5980772;-74.0761028;#Conéctese
RT @StatsBlogs: Working With R and Big Data: Use Replyr https://t.co/Yokjq468oP;Fri Jul 07 01:55:50 +0000 2017;;0;Laluito;Mexico City;en;427;19.4326009;-99.1333416;
Softkitect : Quantum Big Data Cloud AI Book Chapter 5 - https://t.co/UhXk6kza0T Counter Hack Reloaded Step   Step : https://t.co/g8wxcihaob;Fri Jul 07 01:56:00 +0000 2017;;0;ClouDatAI;San Francisco, CA;en;1333;45.4754429;-75.6989462845435;
Softkitect : Quantum Big Data Cloud AI Book Chapter 3 - https://t.co/XfcShh3zUm Baseball Prospectus 2014 : https://t.co/cAUv7VfqhE;Fri Jul 07 01:56:00 +0000 2017;;0;ClouDatAI;San Francisco, CA;en;1333;45.4754429;-75.6989462845435;
Robert Mercer: the big data billionaire waging war on mainstream media https://t.co/gcYfHDW2bf #bigdata https://t.co/Iw7BXDTvXw;Fri Jul 07 01:56:01 +0000 2017;;0;monstaflashlite;Copenhagen, Denmark;de;147;55.6867243;12.5700724;#bigdata
Working with #Couchbase from #Delphi - https://t.co/IMx4ggfPjP;Mon Sep 25 14:54:45 +0000 2017;;0;mgroves;Grove City, OH;en;2236;39.8814519;-83.0929645;#Couchbase #Delphi
@michaelwaskom You mean “Before python was cool”?  Why could growth in use driven by a relatively well designed library be bad?;Mon Sep 25 14:54:48 +0000 2017;;0;PhDemetri;Toronto, Ontario;en;116;43.653963;-79.387207;
"誰一人として話題にしてないけどREPLがjava9で実装されたので
Pythonにも負けません";Mon Sep 25 14:54:48 +0000 2017;;0;hiroakichan;慶応大学;ja;245;35.3893669;139.4316209;
Man Found Dead In His Bedroom Beside His Python Pet In UK (Photos): An experienced snake… https://t.co/0zKDdPr2bK;Mon Sep 25 14:54:56 +0000 2017;;0;marvellous997;NIGERIA;en;776;9.6000359;7.9999721;
"RT @AriMelber: New FBI annual crime data out:

Violent crime &amp; homicides rose in 2016; 

Homicides up 8.6%; up 20% in big cities https://t.…";Mon Sep 25 14:54:58 +0000 2017;;0;NicolasRobidoux;Montréal;en;89;45.4972159;-73.6103642;
